43,2,1,5,50
43,3,0,10,65
44,1,0,0,0
44,2,0,10,5
44,3,1,15,35
45,1,0,0,0
45,2,1,5,5
45,3,0,20,20
46,1,1,0,0
46,2,0,5,35
46,3,0,15,50
47,1,0,0,0
47,2,0,10,35
47,3,1,20,50
48,1,1,0,0
48,2,0,15,5
48,3,0,20,65
49,1,0,0,0
49,2,0,10,20
49,3,1,15,65
50,1,0,0,0
50,2,0,15,20
50,3,1,20,50
51,1,0,0,0
51,2,0,5,50
51,3,1,10,65
52,1,0,0,0
52,2,0,10,5
52,3,1,15,35
53,1,0,0,0
53,2,0,5,5
53,3,1,20,20
54,1,0,0,0
54,2,0,5,35
54,3,1,15,50
55,1,0,0,0
55,2,0,10,35
55,3,1,20,50
56,1,0,0,0
56,2,0,15,5
56,3,1,20,65
57,1,0,0,0
57,2,1,5,20
57,3,0,10,50
58,1,0,0,0
58,2,0,5,50
58,3,1,15,65
59,1,0,0,0
59,2,0,10,20
59,3,1,20,35
60,1,0,0,0
60,2,1,5,65
60,3,0,15,80
61,1,0,0,0
61,2,0,10,5
61,3,1,15,20
62,1,0,0,0
62,2,0,15,5
62,3,1,20,35
63,1,0,0,0
63,2,1,5,35
63,3,0,20,50
64,1,0,0,0
64,2,0,5,5
64,3,1,10,65
65,1,0,0,0
65,2,0,5,20
65,3,1,10,50
66,1,0,0,0
66,2,0,5,50
66,3,1,15,65
67,1,0,0,0
67,2,1,10,20
67,3,0,20,35
68,1,0,0,0
68,2,0,5,65
68,3,1,15,80
69,1,0,0,0
69,2,0,10,5
69,3,1,15,20
70,1,0,0,0
70,2,1,15,5
70,3,0,20,35
71,1,0,0,0
71,2,0,5,35
71,3,1,20,50
72,1,0,0,0
72,2,0,5,5
72,3,1,10,65
73,1,0,0,0
73,2,0,10,20
73,3,1,15,65
74,1,0,0,0
74,2,0,15,20
74,3,1,20,50
75,1,0,0,0
75,2,0,5,50
75,3,1,10,65
76,1,1,0,0
76,2,0,10,5
76,3,0,15,35
77,1,1,0,0
77,2,0,5,5
77,3,0,20,20
78,1,0,0,0
78,2,0,5,35
78,3,1,15,50
79,1,0,0,0
79,2,1,10,35
79,3,0,20,50
80,1,1,0,0
80,2,0,15,5
80,3,0,20,65
81,1,0,0,0
81,2,1,5,5
81,3,0,10,50
82,1,0,0,0
82,2,1,5,65
82,3,0,10,80
83,1,0,0,0
83,2,1,5,20
83,3,0,20,35
84,1,0,0,0
84,2,1,5,20
84,3,0,15,35
85,1,0,0,0
85,2,1,5,50
85,3,0,20,65
86,1,0,0,0
86,2,0,10,5
86,3,1,15,50
87,1,0,0,0
87,2,1,15,5
87,3,0,20,20
88,1,0,0,0
88,2,1,10,35
88,3,0,15,65
89,1,0,0,0
89,2,0,5,20
89,3,1,10,50
90,1,0,0,0
90,2,0,5,50
90,3,1,15,65
91,1,0,0,0
91,2,0,10,20
91,3,1,20,35
92,1,0,0,0
92,2,0,5,65
92,3,1,15,80
93,1,0,0,0
93,2,0,10,5
93,3,1,15,20
94,1,0,0,0
94,2,0,15,5
94,3,1,20,35
95,1,0,0,0
95,2,0,5,35
95,3,1,20,50
96,1,0,0,0
96,2,0,5,5
96,3,1,10,65
97,1,0,0,0
97,2,1,5,20
97,3,0,10,50
98,1,0,0,0
98,2,0,5,50
98,3,1,15,65
99,1,0,0,0
99,2,1,10,20
99,3,0,20,35
100,1,0,0,0
100,2,0,5,65
100,3,1,15,80
101,1,0,0,0
101,2,0,10,5
101,3,1,15,20
102,1,0,0,0
102,2,0,15,5
102,3,1,20,35
103,1,0,0,0
103,2,1,5,35
103,3,0,20,50
104,1,0,0,0
104,2,0,5,5
104,3,1,10,65
105,1,1,0,0
105,2,0,5,5
105,3,0,10,50
106,1,0,0,0
106,2,1,5,65
106,3,0,10,80
107,1,0,0,0
107,2,1,5,20
107,3,0,20,35
108,1,0,0,0
108,2,1,5,20
108,3,0,15,35
109,1,0,0,0
109,2,1,5,50
109,3,0,20,65
110,1,0,0,0
110,2,1,10,5
110,3,0,15,50
111,1,0,0,0
111,2,1,15,5
111,3,0,20,20
112,1,0,0,0
112,2,0,10,35
112,3,1,15,65
113,1,0,0,0
113,2,0,5,5
113,3,1,10,50
114,1,0,0,0
114,2,0,5,65
114,3,1,10,80
115,1,0,0,0
115,2,0,5,20
115,3,1,20,35
116,1,0,0,0
116,2,0,5,20
116,3,1,15,35
117,1,0,0,0
117,2,0,5,50
117,3,1,20,65
118,1,0,0,0
118,2,0,10,5
118,3,1,15,50
119,1,0,0,0
119,2,0,15,5
119,3,1,20,20
120,1,0,0,0
120,2,0,10,35
120,3,1,15,65
121,1,1,0,0
121,2,0,10,20
121,3,0,15,65
122,1,0,0,0
122,2,1,15,20
122,3,0,20,50
123,1,0,0,0
123,2,1,5,50
123,3,0,10,65
124,1,0,0,0
124,2,1,10,5
124,3,0,15,35
125,1,0,0,0
125,2,1,5,5
125,3,0,20,20
126,1,1,0,0
126,2,0,5,35
126,3,0,15,50
127,1,0,0,0
127,2,1,10,35
127,3,0,20,50
128,1,0,0,0
128,2,1,15,5
128,3,0,20,65
129,1,1,0,0
129,2,0,5,5
129,3,0,10,50
130,1,0,0,0
130,2,1,5,65
130,3,0,10,80
131,1,0,0,0
131,2,1,5,20
131,3,0,20,35
132,1,0,0,0
132,2,1,5,20
132,3,0,15,35
133,1,0,0,0
133,2,0,5,50
133,3,1,20,65
134,1,0,0,0
134,2,1,10,5
134,3,0,15,50
